bucket,count
0,30
1,35
2,35
3,33
4,44
5,26
6,51
7,39
8,37
9,30
10,49
11,35
12,48
13,35
14,32
15,32
16,34
17,31
18,29
19,39
20,37
21,38
22,28
23,41
24,38
25,31
26,33
27,43
28,23
29,39
30,42
31,30
32,34
33,37
34,34
35,42
36,30
37,30
38,35
39,29
40,39
41,23
42,23
43,30
44,41
45,40
46,29
47,38
48,44
49,33
50,33
51,33
52,42
53,31
54,35
55,29
56,32
57,30
58,26
59,30
60,27
61,30
62,45
63,37
64,55
65,41
66,33
67,43
68,32
69,34
70,35
71,36
72,30
73,30
74,35
75,32
76,33
77,25
78,41
79,34
80,39
81,35
82,34
83,23
84,40
85,31
86,28
87,40
88,33
89,36
90,33
91,29
92,35
93,42
94,38
95,45
96,33
97,34
98,44
99,28
100,37
101,34
102,25
103,35
104,34
105,32
106,28
107,31
108,27
109,40
110,33
111,34
112,26
113,23
114,35
115,36
116,34
117,44
118,41
119,36
120,27
121,46
122,39
123,29
124,30
125,27
126,35
127,36
128,34
129,49
130,44
131,39
132,47
133,31
134,36
135,31
136,43
137,38
138,37
139,42
140,38
141,41
142,35
143,39
144,38
145,44
146,33
147,46
148,35
149,32
150,39
151,34
152,35
153,31
154,34
155,38
156,37
157,37
158,40
159,44
160,40
161,34
162,27
163,26
164,28
165,48
166,42
167,36
168,37
169,28
170,35
171,38
172,35
173,38
174,33
175,34
176,35
177,23
178,32
179,36
180,37
181,46
182,32
183,21
184,34
185,30
186,36
187,29
188,37
189,31
190,31
191,33
192,33
193,39
194,43
195,34
196,29
197,43
198,39
199,35
200,29
201,43
202,33
203,31
204,33
205,36
206,37
207,35
208,34
209,29
210,37
211,34
212,48
213,30
214,35
215,39
216,32
217,29
218,37
219,35
220,46
221,31
222,48
223,33
224,29
225,36
226,39
227,25
228,32
229,31
230,33
231,32
232,36
233,38
234,39
235,39
236,33
237,42
238,26
239,34
240,35
241,21
242,35
243,24
244,34
245,35
246,40
247,28
248,41
249,42
250,24
251,38
252,38
253,29
254,28
255,33
256,34
257,32
258,33
259,35
260,39
261,40
262,35
263,45
264,34
265,30
266,43
267,37
268,29
269,44
270,28
271,23
272,25
273,31
274,39
275,49
276,43
277,38
278,32
279,42
280,34
281,46
282,36
283,38
284,34
285,35
286,31
287,47
288,40
289,31
290,41
291,38
292,29
293,30
294,34
295,32
296,23
297,35
298,35
299,31
300,43
301,36
302,38
303,39
304,24
305,29
306,30
307,40
308,40
309,35
310,26
311,29
312,33
313,34
314,36
315,29
316,24
317,35
318,38
319,28
320,30
321,37
322,38
323,40
324,42
325,32
326,43
327,32
328,40
329,38
330,46
331,30
332,33
333,37
334,29
335,32
336,39
337,32
338,26
339,37
340,42
341,21
342,38
343,37
344,25
345,32
346,33
347,33
348,33
349,34
350,35
351,26
352,24
353,32
354,40
355,42
356,33
357,51
358,43
359,46
360,41
361,32
362,33
363,34
364,33
365,40
366,34
367,40
368,32
369,42
370,26
371,32
372,30
373,39
374,25
375,34
376,42
377,29
378,36
379,40
380,27
381,30
382,36
383,31
384,24
385,38
386,32
387,33
388,41
389,40
390,36
391,25
392,39
393,28
394,38
395,37
396,32
397,35
398,37
399,31
400,30
401,47
402,46
403,30
404,39
405,40
406,39
407,32
408,40
409,40
410,37
411,46
412,49
413,36
414,35
415,30
416,35
417,39
418,30
419,38
420,26
421,38
422,27
423,35
424,37
425,37
426,41
427,37
428,25
429,43
430,45
431,30
432,40
433,30
434,29
435,37
436,42
437,34
438,38
439,30
440,36
441,31
442,40
443,31
444,43
445,34
446,42
447,40
448,30
449,27
450,31
451,29
452,33
453,38
454,33
455,38
456,35
457,34
458,46
459,30
460,36
461,41
462,25
463,39
464,43
465,36
466,39
467,33
468,41
469,35
470,43
471,35
472,37
473,26
474,33
475,28
476,33
477,37
478,41
479,33
480,44
481,44
482,22
483,39
484,32
485,35
486,44
487,51
488,29
489,28
490,43
491,36
492,33
493,32
494,29
495,30
496,37
497,32
498,36
499,36
500,36
