bucket,count
0,4
1,2
2,2
3,5
4,3
5,2
6,0
7,6
8,8
9,6
10,4
11,0
12,2
13,4
14,3
15,6
16,5
17,0
18,2
19,3
20,4
21,4
22,3
23,4
24,7
25,2
26,6
27,5
28,3
29,3
30,4
31,4
32,1
33,4
34,2
35,4
36,6
37,6
38,3
39,0
40,2
41,7
42,9
43,1
44,5
45,1
46,5
47,4
48,1
49,3
50,2
51,4
52,7
53,3
54,1
55,3
56,4
57,2
58,4
59,4
60,4
61,2
62,5
63,5
64,4
65,6
66,3
67,6
68,7
69,3
70,7
71,5
72,3
73,6
74,4
75,1
76,2
77,3
78,3
79,2
80,2
81,1
82,7
83,6
84,4
85,4
86,3
87,5
88,4
89,5
90,3
91,4
92,5
93,2
94,2
95,3
96,5
97,3
98,4
99,3
100,2
101,2
102,4
103,3
104,2
105,5
106,6
107,4
108,3
109,2
110,2
111,1
112,4
113,7
114,3
115,4
116,4
117,5
118,8
119,1
120,5
121,2
122,3
123,1
124,6
125,9
126,5
127,2
128,7
129,2
130,2
131,6
132,3
133,4
134,5
135,3
136,6
137,5
138,2
139,5
140,3
141,6
142,4
143,5
144,3
145,5
146,4
147,6
148,2
149,5
150,2
151,2
152,2
153,2
154,6
155,1
156,1
157,5
158,3
159,2
160,3
161,2
162,5
163,6
164,5
165,5
166,4
167,3
168,4
169,8
170,3
171,4
172,6
173,2
174,4
175,3
176,2
177,3
178,3
179,3
180,5
181,4
182,5
183,5
184,2
185,6
186,3
187,3
188,3
189,2
190,3
191,3
192,5
193,4
194,2
195,2
196,3
197,1
198,1
199,5
200,1
201,3
202,2
203,3
204,3
205,2
206,6
207,3
208,5
209,2
210,8
211,3
212,2
213,5
214,3
215,5
216,1
217,1
218,5
219,3
220,3
221,6
222,3
223,2
224,4
225,6
226,3
227,6
228,1
229,4
230,3
231,6
232,3
233,5
234,6
235,2
236,2
237,0
238,3
239,2
240,1
241,4
242,3
243,4
244,6
245,1
246,2
247,3
248,4
249,3
250,2
251,4
252,3
253,2
254,5
255,1
256,6
257,0
258,7
259,5
260,3
261,5
262,7
263,4
264,4
265,6
266,4
267,2
268,5
269,3
270,6
271,6
272,3
273,0
274,2
275,4
276,6
277,4
278,2
279,3
280,2
281,4
282,5
283,5
284,5
285,6
286,6
287,3
288,7
289,1
290,2
291,3
292,3
293,3
294,1
295,3
296,10
297,2
298,2
299,4
300,4
301,4
302,1
303,4
304,6
305,2
306,3
307,2
308,1
309,2
310,1
311,1
312,6
313,1
314,4
315,3
316,5
317,3
318,4
319,1
320,5
321,6
322,3
323,3
324,2
325,5
326,3
327,3
328,3
329,5
330,3
331,4
332,5
333,4
334,4
335,4
336,3
337,5
338,3
339,4
340,3
341,2
342,6
343,5
344,3
345,2
346,4
347,5
348,4
349,3
350,4
351,3
352,4
353,1
354,1
355,4
356,0
357,3
358,5
359,2
360,6
361,5
362,3
363,3
364,2
365,4
366,3
367,2
368,5
369,8
370,2
371,6
372,1
373,5
374,5
375,7
376,1
377,1
378,7
379,3
380,3
381,5
382,2
383,6
384,5
385,1
386,9
387,5
388,4
389,2
390,4
391,5
392,1
393,3
394,6
395,5
396,3
397,5
398,3
399,3
400,0
401,2
402,3
403,6
404,4
405,2
406,1
407,1
408,5
409,4
410,3
411,5
412,9
413,6
414,1
415,1
416,2
417,1
418,4
419,4
420,2
421,2
422,3
423,3
424,1
425,4
426,5
427,4
428,4
429,4
430,2
431,5
432,2
433,4
434,1
435,1
436,2
437,1
438,1
439,1
440,2
441,5
442,5
443,3
444,3
445,0
446,3
447,4
448,2
449,4
450,2
451,3
452,3
453,3
454,3
455,2
456,5
457,5
458,3
459,5
460,4
461,6
462,4
463,3
464,4
465,4
466,3
467,1
468,3
469,2
470,2
471,3
472,5
473,3
474,3
475,4
476,2
477,2
478,3
479,2
480,3
481,6
482,3
483,9
484,2
485,2
486,7
487,3
488,1
489,2
490,4
491,5
492,3
493,1
494,4
495,3
496,1
497,1
498,1
499,4
500,1
501,4
502,4
503,5
504,1
505,3
506,7
507,6
508,4
509,5
510,0
511,6
512,3
513,3
514,2
515,3
516,1
517,4
518,5
519,0
520,4
521,7
522,2
523,5
524,4
525,6
526,4
527,3
528,4
529,5
530,2
531,4
532,3
533,2
534,6
535,7
536,8
537,7
538,1
539,3
540,2
541,5
542,1
543,5
544,3
545,4
546,4
547,3
548,4
549,0
550,4
551,5
552,3
553,8
554,3
555,2
556,1
557,2
558,3
559,1
560,3
561,3
562,4
563,3
564,3
565,7
566,4
567,5
568,7
569,5
570,2
571,6
572,5
573,4
574,6
575,2
576,4
577,2
578,2
579,3
580,6
581,3
582,2
583,2
584,7
585,2
586,3
587,3
588,2
589,0
590,7
591,6
592,4
593,3
594,7
595,3
596,3
597,1
598,5
599,4
600,5
601,3
602,4
603,3
604,6
605,3
606,4
607,6
608,4
609,6
610,4
611,3
612,3
613,0
614,4
615,3
616,1
617,2
618,5
619,4
620,2
621,5
622,5
623,3
624,6
625,3
626,2
627,4
628,3
629,3
630,6
631,6
632,3
633,5
634,6
635,1
636,2
637,2
638,3
639,1
640,5
641,5
642,2
643,3
644,4
645,5
646,3
647,3
648,1
649,4
650,3
651,2
652,2
653,5
654,7
655,5
656,4
657,6
658,6
659,2
660,3
661,7
662,3
663,2
664,2
665,1
666,3
667,4
668,5
669,1
670,5
671,6
672,6
673,1
674,1
675,1
676,1
677,2
678,4
679,4
680,2
681,3
682,3
683,3
684,2
685,5
686,3
687,3
688,8
689,1
690,2
691,1
692,4
693,4
694,5
695,2
696,0
