bucket,count
0,4
1,2
2,4
3,4
4,6
5,2
6,5
7,1
8,4
9,4
10,1
11,4
12,1
13,0
14,2
15,2
16,4
17,1
18,1
19,6
20,5
21,1
22,3
23,1
24,5
25,2
26,1
27,8
28,2
29,3
30,2
31,0
32,2
33,9
34,5
35,3
36,1
37,3
38,2
39,2
40,3
41,4
42,5
43,3
44,2
45,2
46,2
47,3
48,2
49,4
50,4
51,1
52,3
53,6
54,1
55,2
56,2
57,4
58,3
59,4
60,5
61,0
62,3
63,4
64,3
65,2
66,2
67,1
68,5
69,2
70,3
71,1
72,4
73,1
74,3
75,2
76,6
77,4
78,4
79,1
80,2
81,1
82,4
83,4
84,4
85,0
86,2
87,5
88,2
89,1
90,4
91,3
92,1
93,1
94,2
95,2
96,4
97,3
98,3
99,4
100,4
101,2
102,2
103,6
104,6
105,7
106,3
107,6
108,3
109,2
110,6
111,2
112,5
113,5
114,5
115,4
116,5
117,4
118,5
119,1
120,4
121,6
122,5
123,6
124,2
125,2
126,2
127,2
128,5
129,13
130,5
131,3
132,9
133,5
134,5
135,8
136,6
137,7
138,6
139,2
140,5
141,7
142,5
143,7
144,4
145,5
146,5
147,6
148,3
149,5
150,3
151,7
152,3
153,5
154,4
155,5
156,7
157,8
158,6
159,4
160,5
161,10
162,6
163,6
164,6
165,5
166,8
167,3
168,4
169,9
170,5
171,6
172,6
173,5
174,5
175,4
176,4
177,7
178,5
179,7
180,6
181,8
182,7
183,5
184,7
185,8
186,5
187,7
188,8
189,8
190,7
191,7
192,3
193,5
194,1
195,5
196,4
197,1
198,4
199,3
200,3
201,1
202,3
203,3
204,8
205,1
206,1
207,0
208,0
209,2
210,4
211,5
212,7
213,2
214,4
215,5
216,6
217,3
218,6
219,1
220,4
221,3
222,3
223,4
224,3
225,0
226,4
227,1
228,5
229,4
230,2
231,4
232,4
233,6
234,4
235,4
236,3
237,4
238,2
239,0
240,2
241,5
242,0
243,4
244,6
245,1
246,2
247,4
248,1
249,8
250,2
251,2
252,2
253,5
254,4
255,2
256,4
257,10
258,11
259,6
260,10
261,7
262,7
263,12
264,8
265,11
266,14
267,12
268,4
269,6
270,4
271,9
272,10
273,8
274,8
275,11
276,10
277,10
278,11
279,7
280,10
281,5
282,8
283,8
284,9
285,13
286,5
287,10
288,7
289,5
290,10
291,7
292,10
293,15
294,12
295,8
296,6
297,11
298,2
299,9
300,15
301,6
302,12
303,9
304,6
305,8
306,13
307,9
308,11
309,5
310,8
311,9
312,11
313,7
314,5
315,5
316,9
317,6
318,8
319,7
320,4
321,5
322,4
323,8
324,6
325,5
326,2
327,6
328,4
329,4
330,3
331,7
332,4
333,2
334,7
335,7
336,4
337,3
338,1
339,6
340,7
341,4
342,4
343,8
344,6
345,5
346,3
347,4
348,4
349,13
350,4
351,4
352,8
353,5
354,9
355,10
356,7
357,7
358,12
359,9
360,5
361,11
362,8
363,11
364,7
365,10
366,3
367,4
368,7
369,7
370,6
371,11
372,10
373,9
374,10
375,7
376,5
377,10
378,9
379,5
380,7
381,6
382,7
383,6
384,7
385,3
386,5
387,1
388,5
389,4
390,1
391,0
392,2
393,3
394,2
395,3
396,7
397,5
398,1
399,2
400,4
401,4
402,2
403,4
404,5
405,4
406,4
407,3
408,3
409,3
410,1
411,2
412,4
413,6
414,3
415,2
416,3
417,2
418,4
419,1
420,3
421,0
422,1
423,6
424,1
425,2
426,3
427,3
428,3
429,6
430,1
431,6
432,4
433,3
434,2
435,5
436,5
437,3
438,1
439,2
440,2
441,3
442,4
443,3
444,9
445,4
446,2
447,2
448,3
449,4
450,4
451,7
452,4
453,0
454,2
455,2
456,3
457,1
458,4
459,6
460,3
461,2
462,4
463,1
464,1
465,4
466,4
467,5
468,6
469,2
470,4
471,2
472,3
473,3
474,4
475,3
476,4
477,1
478,1
479,2
480,3
481,3
482,3
483,4
484,1
485,2
486,1
487,6
488,2
489,1
490,3
491,3
492,3
493,1
494,5
495,2
496,2
497,3
498,3
499,4
500,3
501,4
502,4
503,4
504,6
505,5
506,3
507,2
508,2
509,2
510,2
511,1
512,6
513,4
514,9
515,10
516,9
517,10
518,9
519,3
520,10
521,15
522,13
523,12
524,12
525,10
526,11
527,9
528,9
529,8
530,11
531,13
532,11
533,8
534,7
535,8
536,13
537,13
538,11
539,10
540,14
541,9
542,8
543,9
544,8
545,6
546,5
547,12
548,11
549,13
550,8
551,2
552,13
553,16
554,9
555,7
556,10
557,13
558,14
559,11
560,8
561,10
562,8
563,6
564,10
565,8
566,7
567,7
568,4
569,10
570,3
571,9
572,6
573,16
574,6
575,12
576,9
577,12
578,12
579,11
580,18
581,3
582,12
583,11
584,7
585,14
586,11
587,8
588,15
589,16
590,11
591,9
592,15
593,13
594,17
595,12
596,14
597,12
598,7
599,8
600,12
601,15
602,9
603,14
604,10
605,10
606,5
607,11
608,11
609,10
610,10
611,7
612,15
613,8
614,8
615,6
616,9
617,13
618,8
619,11
620,7
621,10
622,16
623,4
624,8
625,13
626,7
627,10
628,11
629,5
630,10
631,15
632,10
633,17
634,14
635,7
636,7
637,9
638,8
639,11
640,8
641,10
642,11
643,11
644,15
645,11
646,6
647,8
648,9
649,10
650,11
651,8
652,11
653,4
654,8
655,13
656,8
657,6
658,6
659,7
660,16
661,9
662,11
663,10
664,10
665,16
666,13
667,9
668,13
669,9
670,5
671,5
672,6
673,11
674,7
675,9
676,12
677,16
678,6
679,12
680,7
681,13
682,7
683,12
684,13
685,6
686,5
687,11
688,10
689,11
690,9
691,12
692,7
693,11
694,9
695,8
696,9
