bucket,count
0,15
1,8
2,14
3,14
4,6
5,9
6,10
7,13
8,12
9,10
10,14
11,8
12,6
13,12
14,7
15,8
16,11
17,7
18,16
19,5
20,3
21,2
22,7
23,11
24,11
25,4
26,7
27,5
28,3
29,5
30,4
31,6
32,9
33,8
34,5
35,9
36,6
37,33
38,29
39,24
40,28
41,26
42,34
43,26
44,24
45,24
46,52
47,37
48,55
49,49
50,52
51,61
52,52
53,49
54,52
55,61
56,82
57,65
58,60
59,67
60,61
61,74
62,64
63,64
64,102
65,95
66,90
67,84
68,82
69,66
70,72
71,80
72,71
73,66
74,70
75,74
76,66
77,65
78,53
79,47
80,50
81,56
82,48
83,44
84,41
85,45
86,47
87,38
88,27
89,33
90,26
91,28
92,26
93,27
94,28
95,42
96,16
97,11
98,10
99,7
100,9
101,8
102,10
103,10
104,20
105,11
106,12
107,9
108,19
109,12
110,12
111,17
112,19
113,17
114,18
115,15
116,19
117,10
118,9
119,21
120,24
121,17
122,14
123,9
124,12
125,18
126,16
127,21
128,12
129,14
130,17
131,6
132,4
133,10
134,23
135,8
136,17
137,14
138,12
139,9
140,9
141,12
142,9
143,15
144,5
145,14
146,11
147,3
148,8
149,4
150,5
151,13
152,7
153,7
154,11
155,6
156,23
157,16
158,17
159,17
160,13
161,19
162,4
163,9
164,15
165,16
166,12
167,20
168,16
169,13
170,18
171,11
172,15
173,12
174,25
175,30
176,24
177,18
178,29
179,21
180,16
181,12
182,8
183,21
184,26
185,22
186,26
187,16
188,15
189,27
190,32
191,19
192,29
193,16
194,19
195,24
196,17
197,15
198,16
199,26
200,19
201,23
202,13
203,15
204,13
205,16
206,18
207,16
208,8
209,12
210,13
211,4
212,4
213,15
214,12
215,10
216,7
217,10
218,5
219,8
220,25
221,10
222,11
223,13
224,8
225,7
226,8
227,10
228,5
229,12
230,10
231,16
232,6
233,9
234,11
235,9
236,17
237,13
238,15
239,15
240,16
241,16
242,12
243,9
244,12
245,8
246,8
247,21
248,18
249,12
250,12
251,18
252,10
253,14
254,19
255,19
256,11
257,3
258,8
259,7
260,7
261,8
262,5
263,10
264,16
265,18
266,8
267,6
268,7
269,11
270,11
271,5
272,4
273,7
274,9
275,6
276,4
277,7
278,7
279,5
280,12
281,10
282,13
283,1
284,20
285,11
286,21
287,18
288,11
289,15
290,18
291,12
292,16
293,28
294,14
295,29
296,28
297,20
298,26
299,24
300,27
301,27
302,26
303,34
304,40
305,36
306,26
307,21
308,35
309,33
310,39
311,41
312,36
313,30
314,36
315,35
316,23
317,28
318,47
319,31
320,27
321,35
322,23
323,31
324,32
325,36
326,21
327,20
328,31
329,34
330,25
331,17
332,16
333,25
334,20
335,18
336,16
337,14
338,21
339,11
340,13
341,13
342,17
343,6
344,7
345,5
346,14
347,7
348,11
349,11
350,13
351,10
352,13
353,13
354,6
355,8
356,4
357,17
358,5
359,10
360,12
361,8
362,15
363,8
364,6
365,9
366,5
367,14
368,19
369,18
370,11
371,13
372,11
373,13
374,12
375,19
376,20
377,16
378,18
379,19
380,26
381,16
382,12
383,13
384,14
385,11
386,10
387,9
388,4
389,10
390,13
391,15
392,8
393,11
394,15
395,9
396,7
397,8
398,10
399,7
400,14
401,15
402,6
403,9
404,17
405,15
406,12
407,11
408,9
409,13
410,9
411,7
412,18
413,6
414,20
415,21
416,8
417,8
418,12
419,14
420,17
421,17
422,20
423,19
424,26
425,24
426,15
427,13
428,28
429,22
430,29
431,30
432,23
433,26
434,20
435,14
436,21
437,23
438,16
439,20
440,21
441,24
442,15
443,14
444,12
445,14
446,20
447,20
448,12
449,16
450,15
451,13
452,19
453,10
454,14
455,11
456,9
457,8
458,8
459,8
460,13
461,8
462,6
463,8
464,11
465,9
466,7
467,14
468,12
469,12
470,9
471,8
472,14
473,9
474,2
475,7
476,6
477,9
478,16
479,11
480,9
481,8
482,4
483,12
484,11
485,10
486,16
487,15
488,10
489,13
490,8
491,6
492,11
493,11
494,13
495,8
496,15
497,10
498,10
499,6
500,3
501,14
502,10
503,7
504,7
505,8
506,6
507,5
508,11
509,9
510,8
511,11
512,11
513,10
514,9
515,11
516,6
517,17
518,9
519,5
520,6
521,5
522,9
523,3
524,5
525,7
526,12
527,8
528,9
529,9
530,7
531,23
532,22
533,32
534,34
535,23
536,24
537,20
538,22
539,10
540,31
541,38
542,39
543,49
544,35
545,30
546,31
547,47
548,46
549,44
550,45
551,45
552,42
553,52
554,56
555,35
556,36
557,52
558,65
559,63
560,56
561,68
562,50
563,49
564,45
565,48
566,48
567,42
568,45
569,47
570,43
571,33
572,39
573,44
574,42
575,32
576,35
577,30
578,26
579,27
580,24
581,26
582,19
583,21
584,20
585,14
586,17
587,15
588,12
589,15
590,10
591,5
592,12
593,9
594,1
595,12
596,8
597,10
598,9
599,5
600,9
601,6
602,3
603,7
604,17
605,10
606,13
607,14
608,9
609,11
610,6
611,11
612,10
613,12
614,9
615,15
616,20
617,8
618,12
619,13
620,13
621,13
622,22
623,12
624,19
625,23
626,14
627,21
628,9
629,14
630,14
631,18
632,11
633,10
634,9
635,9
636,19
637,6
638,13
639,10
640,10
641,7
642,10
643,12
644,9
645,12
646,11
647,7
648,20
649,11
650,7
651,7
652,7
653,5
654,8
655,11
656,11
657,11
658,7
659,13
660,10
661,8
662,15
663,12
664,19
665,12
666,12
667,7
668,13
669,16
670,18
671,16
672,14
673,20
674,12
675,30
676,17
677,18
678,17
679,15
680,21
681,21
682,20
683,19
684,22
685,16
686,22
687,36
688,33
689,23
690,17
691,23
692,17
693,24
694,28
695,24
696,17
697,20
698,16
699,18
700,18
701,16
702,7
703,22
704,28
705,14
706,9
707,14
708,14
709,11
710,11
711,12
712,17
713,14
714,15
715,11
716,21
717,16
718,20
719,11
720,10
721,14
722,10
723,18
724,12
725,14
726,15
727,9
728,11
729,5
730,13
731,13
732,15
733,9
734,13
735,11
736,14
737,15
738,9
739,7
740,9
741,18
742,14
743,12
744,19
745,14
746,19
747,10
748,26
749,13
750,15
751,11
752,3
753,11
754,11
755,11
756,8
757,13
758,12
759,11
760,6
761,6
762,6
763,9
764,10
765,9
766,5
767,8
768,2
769,6
770,6
771,6
772,10
773,13
774,5
775,7
776,8
777,4
778,19
779,19
780,21
781,18
782,22
783,19
784,16
785,22
786,12
787,27
788,22
789,23
790,25
791,29
792,20
793,24
794,25
795,19
796,49
797,33
798,36
799,45
800,29
801,29
802,18
803,25
804,33
805,44
806,47
807,34
808,37
809,36
810,36
811,27
812,39
813,29
814,26
815,22
816,17
817,22
818,30
819,25
820,17
821,29
822,32
823,21
824,15
825,17
826,19
827,15
828,12
829,12
830,10
831,7
832,16
833,11
834,12
835,11
836,12
837,10
838,6
839,10
840,14
841,6
842,19
843,10
844,11
845,18
846,13
847,11
848,11
849,12
850,9
851,13
852,6
853,22
854,9
855,12
856,6
857,9
858,10
859,10
860,12
861,17
862,11
863,12
864,8
865,7
866,14
867,19
868,18
869,20
870,15
871,11
872,15
873,18
874,11
875,15
876,10
877,21
878,11
879,8
880,8
881,9
882,17
883,10
884,13
885,17
886,11
887,7
888,13
889,8
890,10
891,13
892,9
893,14
894,11
895,16
896,9
897,5
898,3
899,10
900,7
901,8
902,6
903,7
904,9
905,9
906,9
907,13
908,22
909,16
910,9
911,7
912,12
913,6
914,7
915,12
916,16
917,18
918,20
919,20
920,16
921,13
922,13
923,7
924,20
925,12
926,18
927,20
928,16
929,15
930,10
931,20
932,17
933,22
934,20
935,19
936,21
937,22
938,16
939,16
940,16
941,14
942,19
943,16
944,14
945,9
946,18
947,12
948,15
949,16
950,12
951,16
952,22
953,11
954,12
955,6
956,18
957,8
958,11
959,14
960,10
961,12
962,8
963,14
964,11
965,9
966,12
967,14
968,9
969,9
970,8
971,9
972,13
973,10
974,7
975,11
976,6
977,9
978,5
979,9
980,12
981,9
982,11
983,16
984,9
985,8
986,9
987,11
988,15
989,14
990,10
991,11
992,9
993,11
994,13
995,14
996,15
