bucket,count
0,10
1,11
2,14
3,9
4,9
5,20
6,10
7,11
8,14
9,15
10,15
11,18
12,18
13,11
14,18
15,18
16,32
17,23
18,19
19,28
20,20
21,25
22,27
23,27
24,29
25,40
26,45
27,47
28,57
29,42
30,46
31,53
32,43
33,63
34,53
35,63
36,65
37,49
38,47
39,69
40,67
41,55
42,62
43,46
44,53
45,59
46,59
47,53
48,56
49,46
50,50
51,68
52,53
53,50
54,60
55,36
56,49
57,34
58,39
59,47
60,50
61,34
62,47
63,36
64,35
65,30
66,34
67,34
68,40
69,36
70,32
71,34
72,32
73,21
74,32
75,25
76,27
77,34
78,31
79,31
80,27
81,34
82,30
83,27
84,20
85,31
86,29
87,36
88,20
89,29
90,29
91,28
92,22
93,24
94,27
95,18
96,17
97,21
98,13
99,18
100,22
101,16
102,18
103,13
104,16
105,12
106,14
107,9
108,12
109,16
110,11
111,12
112,15
113,17
114,18
115,25
116,32
117,19
118,23
119,22
120,28
121,26
122,24
123,23
124,31
125,35
126,40
127,34
128,28
129,40
130,48
131,52
132,41
133,44
134,50
135,52
136,59
137,52
138,59
139,57
140,63
141,57
142,55
143,61
144,65
145,53
146,79
147,63
148,73
149,62
150,63
151,54
152,65
153,64
154,66
155,49
156,85
157,53
158,55
159,55
160,40
161,41
162,47
163,39
164,45
165,41
166,53
167,39
168,41
169,32
170,31
171,38
172,27
173,20
174,20
175,28
176,20
177,21
178,24
179,29
180,14
181,32
182,23
183,20
184,31
185,25
186,16
187,18
188,19
189,18
190,11
191,14
192,25
193,22
194,18
195,20
196,11
197,19
198,16
199,15
200,22
201,11
202,19
203,12
204,21
205,13
206,16
207,15
208,14
209,20
210,19
211,21
212,16
213,17
214,13
215,23
216,15
217,26
218,19
219,21
220,26
221,17
222,17
223,29
224,23
225,33
226,20
227,28
228,28
229,43
230,37
231,42
232,29
233,47
234,47
235,38
236,39
237,41
238,42
239,48
240,59
241,61
242,61
243,66
244,58
245,55
246,53
247,65
248,60
249,65
250,83
251,55
252,65
253,69
254,73
255,54
256,66
257,64
258,80
259,54
260,47
261,61
262,63
263,63
264,57
265,50
266,42
267,52
268,42
269,53
270,52
271,51
272,36
273,39
274,39
275,26
276,37
277,35
278,25
279,23
280,27
281,39
282,21
283,14
284,18
285,25
286,21
287,16
288,15
289,23
290,11
291,10
292,14
293,7
294,13
295,14
296,12
297,15
298,14
299,14
300,13
301,9
302,14
303,10
304,15
305,11
306,17
307,10
308,17
309,14
310,14
311,14
312,21
313,17
314,23
315,29
316,17
317,26
318,24
319,24
320,23
321,27
322,21
323,15
324,28
325,35
326,30
327,36
328,29
329,44
330,44
331,37
332,40
333,39
334,43
335,43
336,41
337,38
338,40
339,36
340,49
341,45
342,45
343,37
344,44
345,49
346,46
347,51
348,53
349,50
350,43
351,58
352,58
353,46
354,57
355,57
356,42
357,56
358,54
359,61
360,60
361,43
362,55
363,58
364,50
365,54
366,63
367,52
368,54
369,64
370,45
371,59
372,36
373,49
374,45
375,42
376,43
377,29
378,47
379,31
380,32
381,39
382,42
383,35
384,21
385,31
386,18
387,27
388,22
389,16
390,13
391,22
392,25
393,26
394,19
395,11
396,15
397,17
398,12
399,10
400,11
401,10
402,13
403,18
404,19
405,8
406,18
407,14
408,6
409,15
410,20
411,22
412,26
413,17
414,33
415,31
416,26
417,23
418,34
419,27
420,36
421,26
422,41
423,31
424,45
425,47
426,52
427,40
428,41
429,37
430,46
431,43
432,48
433,43
434,59
435,43
436,44
437,47
438,56
439,43
440,54
441,54
442,56
443,44
444,68
445,37
446,48
447,44
448,60
449,43
450,49
451,40
452,49
453,56
454,54
455,40
456,45
457,46
458,59
459,41
460,46
461,39
462,48
463,46
464,42
465,56
466,48
467,41
468,43
469,37
470,40
471,48
472,54
473,54
474,39
475,29
476,45
477,39
478,36
479,34
480,40
481,40
482,39
483,43
484,42
485,35
486,26
487,29
488,21
489,24
490,21
491,26
492,19
493,19
494,15
495,17
496,22
497,13
498,20
499,22
500,16
