rep,rep_ms
0,9.486
1,6.418
2,7.117
3,7.238
4,6.850
5,7.251
6,7.557
7,7.020
8,5.118
9,5.464
10,4.778
11,5.651
12,5.499
13,7.260
14,6.237
15,8.602
16,8.086
17,7.215
18,4.567
19,4.054
20,4.913
21,4.804
22,4.174
23,7.684
24,6.482
25,4.939
26,5.838
27,6.240
28,5.302
29,5.931
30,7.785
31,4.935
32,6.570
33,7.717
34,6.717
35,6.673
36,4.352
37,4.810
38,6.350
39,5.715
40,5.246
41,4.919
42,4.958
43,6.821
44,4.647
45,5.466
46,6.430
47,6.767
48,5.778
49,6.879
50,6.540
51,5.630
52,4.716
53,6.172
54,4.889
55,5.587
56,5.423
57,4.872
58,4.938
59,4.291
60,4.418
61,4.313
62,4.729
63,4.349
64,4.515
65,5.167
66,5.612
67,5.890
68,4.936
69,5.969
70,6.308
71,4.763
72,4.846
73,6.165
74,4.696
75,4.031
76,4.096
77,4.624
78,4.683
79,4.023
80,4.380
81,4.024
82,4.941
83,4.939
84,5.174
85,4.276
86,4.522
87,4.884
88,5.508
89,4.335
90,4.562
91,4.720
92,4.025
93,4.292
94,4.430
95,4.293
96,4.241
97,5.015
98,5.525
99,4.716
