rep,rep_ms
0,43.525
1,40.728
2,43.021
3,43.115
4,42.660
5,43.675
6,43.007
7,42.787
8,42.718
9,41.486
10,44.564
11,42.162
12,44.422
13,47.627
14,49.138
15,40.424
16,44.424
17,45.236
18,45.440
19,48.761
20,47.787
21,48.473
22,47.496
23,46.975
24,47.606
25,48.512
26,50.317
27,48.613
28,48.271
29,45.931
30,43.697
31,51.822
32,46.184
33,42.754
34,45.334
35,45.354
36,46.883
37,47.151
38,47.563
39,47.925
40,45.460
41,45.406
42,44.374
43,40.264
44,41.907
45,41.101
46,41.567
47,41.253
48,40.646
49,43.461
50,42.551
51,43.342
52,42.770
53,45.094
54,42.177
55,42.616
56,44.657
57,42.256
58,42.368
59,46.035
60,47.164
61,49.755
62,50.279
63,44.349
64,43.814
65,41.909
66,45.439
67,43.775
68,43.465
69,40.213
70,42.145
71,43.114
72,41.306
73,41.034
74,41.695
75,41.852
76,48.240
77,39.603
78,40.925
79,39.568
80,44.500
81,43.976
82,44.566
83,46.075
84,44.794
85,45.404
86,45.249
87,44.426
88,47.343
89,47.918
90,45.266
91,47.105
92,46.088
93,45.535
94,42.656
95,43.408
96,42.169
97,44.962
98,43.656
99,44.278
