rep,rep_ms
0,6.291
1,6.133
2,6.072
3,5.799
4,6.243
5,6.749
6,6.675
7,5.156
8,5.887
9,5.565
10,6.074
11,5.546
12,5.554
13,5.925
14,5.580
15,6.172
16,5.717
17,5.525
18,5.377
19,5.586
20,5.854
21,6.421
22,5.801
23,6.104
24,5.745
25,5.985
26,5.670
27,5.904
28,5.689
29,6.620
30,5.431
31,5.967
32,6.096
33,5.428
34,6.284
35,6.651
36,6.131
37,7.004
38,7.230
39,6.154
40,6.569
41,8.513
42,8.073
43,6.690
44,7.356
45,6.145
46,6.469
47,6.034
48,6.098
49,5.984
50,5.987
51,6.058
52,6.195
53,6.115
54,6.726
55,6.055
56,6.251
57,6.575
58,5.463
59,6.231
60,6.706
61,5.951
62,5.831
63,6.189
64,6.095
65,5.589
66,5.271
67,6.504
68,5.600
69,6.190
70,5.913
71,5.984
72,6.768
73,5.955
74,5.458
75,5.911
76,5.679
77,6.095
78,6.395
79,6.402
80,6.046
81,6.983
82,7.316
83,8.211
84,8.242
85,8.658
86,6.573
87,5.673
88,5.749
89,5.968
90,5.935
91,5.532
92,6.130
93,6.033
94,6.247
95,6.098
96,6.138
97,5.297
98,5.663
99,6.041
